Timestamp,Informed Consent options,Have you fully understood the purpose of this survey and how your information will be handled?,What gender do you identify as?,What is your age?,What is the highest level of education you have completed?,What is your current work status?,How do you pay for the majority of your medical expenses?,What is your average monthly household income?,"The hospital should have modern, up-to-date equipment","The hospital's physical facilities should be clean and visually appealing (reception, waiting area, consultation rooms, toilets, wards)",The hospital's employees should be well-dressed and have a neat and professional appearance,Materials associated with the service should be visually appealing,"When a hospital employee promises to do something by a particular time, they should do it","When a patient has a problem, the hospital's employees should show a sincere interest in solving it",The hospital should provide its services at the time it promises to do,The hospital should always get things right the first time,The hospital should maintain accurate and error-free records,The hospital's employees should tell the patient exactly when services will be performed,The hospital's employees should provide prompt service to patients,The hospital's employees should always be willing to help patients,The hospital's employees should never be too busy to respond to patients' requests,The behaviour and attitudes of hospital employees should instill confidence in patients,Patients should feel safe in all their dealings with the hospital and its employees,Hospital employees should be consistently courteous to patients,Hospital employees should be knowledgeable and able to answer patients' questions,The hospital should give each patient individualised attention,The hospital's employees should express care in their interaction with patients,The hospital and its employees should have the patients' best interests at heart,The hospital's employees should understand the specific needs of each of their patients,The operating hours of the hospital should be convenient for all its patients,"The hospital has modern, up-to-date equipment","The hospital's physical facilities are clean and visually appealing (reception, waiting area, consultation rooms, toilets, wards)",The hospital's employees are well-dressed and have a neat and professional appearance,Materials associated with the service are visually appealing,"When a hospital employee promises to do something by a particular time, they do it","When a patient has a problem, the hospital's employees show a sincere interest in solving it",The hospital provides its services at the time it promises to do,The hospital always gets things right the first time,The hospital maintains accurate and error-free records,The hospital's employees tell the patients exactly when services will be performed,The hospital's employees provide prompt service to patients,The hospital's employees are always willing to help patients,The hospital's employees are never too busy to respond to patients' requests,The behaviour and attitudes of hospital employees instill confidence in patients,Patients feel safe in all their dealings with the hospital and its employees,The hospital's employees are consistently courteous to patients,The hospital's employees are knowledgeable and able to answer patients' questions,The hospital gives each patient individualised attention,The hospital's employees express care in their interaction with patients,The hospital and its employees have the patients' best interests at heart,The hospital's employees understand the specific needs of each of their patients,The operating hours of the hospital are convenient for all its patients,Which feature is the most important to you?,"Considering your overall experience at Halisi family Hospital, how likely are you to recommend Halisi Family Hospital to your family and friends?",What can we do to improve your experience?,
5/11/2024 19:07:33,I agree to participate in the survey,Yes,Male,18 - 44,Certificate or Diploma,Employed,"NHIF Only, Private Health Insurance purchased by self","49,999 and below",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,1,"Your services are too costly, some drugs that you recommend can be cheaply bought outside the hospital",
5/11/2024 19:18:32,I agree to participate in the survey,Yes,Male,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Empathy : The level of caring and individualised attention the hospital provides its patients.,9,"Low cost screening for diseases such as diabetes,cancer",
5/11/2024 21:09:25,I agree to participate in the survey,Yes,Male,18 - 44,Secondary Education,Employed,Private Health Insurance provided by my employer,"50,000-99,999",Agree,Strongly Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,7,"Kindly provide more reassurance, attimes it is hard",
5/11/2024 21:21:56,I agree to participate in the survey,Yes,Female,18 - 44,Prefer not to say,Prefer not to say,Private Health Insurance provided by my employer,"150,000 and above",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Assurance : The knowledge and courtesy of the hospital's employees and their ability to convey trust and confidence.,7,improve customer service just alittle bit,
5/11/2024 21:49:45,I agree to participate in the survey,Yes,Other,18 - 44,Bachelor's Degree,Employed,"Private Health Insurance provided by my employer, NHIF Only","50,000-99,999",Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Assurance : The knowledge and courtesy of the hospital's employees and their ability to convey trust and confidence.,8,To be honest the services have improved compared to the last time i was there,
5/11/2024 22:48:30,I agree to participate in the survey,Yes,Female,> 60,Certificate or Diploma,Retired,Private Health Insurance purchased by self,Prefer not to say,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Responsiveness : The hospital's willingness to help patients and provide prompt service.,10,its just ok,
5/12/2024 18:54:37,I agree to participate in the survey,Yes,Female,45-59,Bachelor's Degree,Self-Employed,"NHIF Only, Private Health Insurance purchased by self",Prefer not to say,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,10,You provide good service. Kudos,
5/12/2024 19:01:19,I agree to participate in the survey,Yes,Male,18 - 44,Certificate or Diploma,Employed,"Private Health Insurance provided by my employer, NHIF Only","49,999 and below",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Responsiveness : The hospital's willingness to help patients and provide prompt service.,10,improve on the waiting time,
5/12/2024 19:10:03,I agree to participate in the survey,Yes,Male,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Responsiveness : The hospital's willingness to help patients and provide prompt service.,9,Inhouse testing,
5/12/2024 19:16:42,I agree to participate in the survey,Yes,Male,45-59,Bachelor's Degree,Employed,Private Health Insurance provided by my employer,Prefer not to say,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,9,Please look for ways to improve the ticketing system,
5/13/2024 8:23:27,I agree to participate in the survey,Yes,Female,18 - 44,Secondary Education,Unemployed,Private Health Insurance provided by my employer,Prefer not to say,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Responsiveness : The hospital's willingness to help patients and provide prompt service.,8,This was too Long ,
5/13/2024 22:04:01,I agree to participate in the survey,Yes,Male,18 - 44,Bachelor's Degree,Employed,Private Health Insurance purchased by self,Prefer not to say,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,8,Nothing ,
5/14/2024 0:42:56,I agree to participate in the survey,Yes,Male,45-59,Secondary Education,Self-Employed,Private Health Insurance provided by my employer,"49,999 and below",Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,8,na,
5/14/2024 1:05:12,I agree to participate in the survey,Yes,Female,45-59,Bachelor's Degree,Employed,Private Health Insurance provided by my employer,"50,000-99,999",Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,7,timely response,
5/14/2024 11:07:48,I agree to participate in the survey,Yes,Male,45-59,Certificate or Diploma,Self-Employed, NHIF Only,"49,999 and below",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Responsiveness : The hospital's willingness to help patients and provide prompt service.,8,Offer dental services,
5/14/2024 11:23:09,I agree to participate in the survey,Yes,Female,18 - 44,Bachelor's Degree,Prefer not to say,Prefer not to say,Prefer not to say,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Empathy : The level of caring and individualised attention the hospital provides its patients.,1,"I got so tired dealing with the reception people, they move so slowly, the long queues to see the doctor. I don't see myself coming back.",
5/14/2024 11:59:20,I agree to participate in the survey,Yes,Female,18 - 44,Bachelor's Degree,Employed,Private Health Insurance provided by my employer,"100,000-149,999",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Assurance : The knowledge and courtesy of the hospital's employees and their ability to convey trust and confidence.,9,"After child birth, the lady who served me food had an attitude towards me.",
5/14/2024 12:08:40,I agree to participate in the survey,Yes,Female,45-59,Certificate or Diploma,Self-Employed,"Out of Pocket - Cash,Mpesa,Credit or Debit Card, NHIF Only",Prefer not to say,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Responsiveness : The hospital's willingness to help patients and provide prompt service.,10,I have no complaints,
5/14/2024 12:24:56,I agree to participate in the survey,Yes,Male,45-59,Postgraduate Degree ( Master's Degree or Higher),Employed,"Private Health Insurance provided by my employer, Private Health Insurance purchased by self","150,000 and above",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Empathy : The level of caring and individualised attention the hospital provides its patients.,8,"The nurses should always be readily available at the triage, to reduce the waiting time to see the doctor.",
5/14/2024 12:38:08,I agree to participate in the survey,Yes,Male,18 - 44,Bachelor's Degree,Employed,Private Health Insurance provided by my employer,"49,999 and below",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Responsiveness : The hospital's willingness to help patients and provide prompt service.,8,"Purchasing modern equipment, CT Scan. l appreciate the services",
5/14/2024 12:45:52,I agree to participate in the survey,Yes,Male,18 - 44,Postgraduate Degree ( Master's Degree or Higher),Employed,Private Health Insurance provided by my employer,"100,000-149,999",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Responsiveness : The hospital's willingness to help patients and provide prompt service.,10,It is ok,
5/14/2024 13:07:07,I agree to participate in the survey,Yes,Male,18 - 44,Postgraduate Degree ( Master's Degree or Higher),Employed,Private Health Insurance provided by my employer,"150,000 and above",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,9,Create a fair balance between female and male doctors,
5/14/2024 13:15:16,I agree to participate in the survey,Yes,Male,18 - 44,Bachelor's Degree,Employed,Private Health Insurance provided by my employer,"100,000-149,999",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Assurance : The knowledge and courtesy of the hospital's employees and their ability to convey trust and confidence.,10,Keep making improvements,
5/14/2024 13:35:31,I agree to participate in the survey,Yes,Female,45-59,Postgraduate Degree ( Master's Degree or Higher),Employed,Private Health Insurance provided by my employer,Prefer not to say,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Assurance : The knowledge and courtesy of the hospital's employees and their ability to convey trust and confidence.,10,"Treats patients as family, with care",
5/14/2024 13:50:22,I agree to participate in the survey,Yes,Female,45-59,Certificate or Diploma,Employed,Private Health Insurance provided by my employer,Prefer not to say,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Empathy : The level of caring and individualised attention the hospital provides its patients.,10,"Nililazwa pale Halisi, nashukuru Huduma niliyopata.",
5/14/2024 14:01:33,I agree to participate in the survey,Yes,Male,18 - 44,Bachelor's Degree,Unemployed,"Out of Pocket - Cash,Mpesa,Credit or Debit Card",Prefer not to say,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,9,Find ways to reduce the waiting time to see a doctor.,
5/14/2024 14:08:34,I agree to participate in the survey,Yes,Female,18 - 44,Prefer not to say,Unemployed,Prefer not to say,Prefer not to say,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Responsiveness : The hospital's willingness to help patients and provide prompt service.,9,Employ receptive front office staff,
5/14/2024 14:09:39,I agree to participate in the survey,Yes,Male,45-59,Bachelor's Degree,Employed,Private Health Insurance provided by my employer,"50,000-99,999",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Empathy : The level of caring and individualised attention the hospital provides its patients.,2,"If you could find a way to standardize the prices, that would be really helpful.",
5/14/2024 14:14:32,I agree to participate in the survey,Yes,Male,18 - 44,Certificate or Diploma,Employed,Private Health Insurance provided by my employer,"49,999 and below",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Empathy : The level of caring and individualised attention the hospital provides its patients.,9,Road directions to improve visibility of your hospital to new people visiting,
5/14/2024 14:26:35,I agree to participate in the survey,Yes,Prefer not to say,18 - 44,Prefer not to say,Prefer not to say,Private Health Insurance provided by my employer,"50,000-99,999",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Tangibles : The appearance of the hospital's facilities, equipment, personnel, and communication materials.",8,The hospital is good. But the questions are too many and confusing,
5/14/2024 14:31:54,I agree to participate in the survey,Yes,Female,> 60,Bachelor's Degree,Retired,Private Health Insurance purchased by self,Prefer not to say,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Empathy : The level of caring and individualised attention the hospital provides its patients.,5,.,
5/14/2024 14:37:42,I agree to participate in the survey,Yes,Male,45-59,Postgraduate Degree ( Master's Degree or Higher),Prefer not to say,Prefer not to say,Prefer not to say,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Reliability : The hospital's ability to perform the promised service dependably and accurately.,7,Too long wait times to triage. Reception do not communicate with the triage people,
5/14/2024 14:38:33,I agree to participate in the survey,Yes,Female,18 - 44,Bachelor's Degree,Employed,Private Health Insurance provided by my employer,"49,999 and below",Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Responsiveness : The hospital's willingness to help patients and provide prompt service.,10,"Services are top notch, the employees are well dressed and friendly. The only thing missing is dental services.",
5/14/2024 14:44:23,I agree to participate in the survey,Yes,Female,18 - 44,Bachelor's Degree,Self-Employed,"Out of Pocket - Cash,Mpesa,Credit or Debit Card",Prefer not to say,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Responsiveness : The hospital's willingness to help patients and provide prompt service.,9,Good services but reception are no friendly,
